name,price,oldPrice
"Средство для ногтей Frenchi Умная эмаль ' стальной укрепитель ' с шиммером 11мл",299.0,299
"Отбеливающая зубная паста PresiDENT White 75мл",304.0,469
"Лак для волос Тафт Объем Мегафиксация (5) 225мл",319.0,449
"Одноразовый станок для бритья Dorco Eve 4",169.0,169
"Салфетки для уборки В каждый дом из микрофибры 30*30см",29.0,29
"Зубная щетка PresiDENT Smokers жесткая в ассортименте",194.0,299
"Тушь для ресниц с эффектом объёма и удлинения Vivienne Sabo Cabaret Legende D'or 01 9мл",649.0,649
"Полоски для депиляции для лица Floresan DEEP depil восковые с алоэ вера 20шт",139.0,199
"Женский одноразовый станок для бритья Dorco Eve 4 лезвия 4шт",575.0,575
"Губка для мытья посуды Vilardi Expert Clean 5шт",99.0,129
"Джутовая мочалка Aqua Joy - лента для душа и ванны",399.0,399
"Дорожный набор Valori ( флакон с крышкой - защелкой 80мл , 2шт )",249.0,249
"Зонт Dropstop автоматический , 3 сложения , Черный",899.0,899
"Тушь для ресниц Vivienne Sabo Cabaret Premiere водостойкая со сценическим эффектом 01 Черный 9мл",579.0,579
"Бальзам для всех типов волос Estel Curex Classic ' увлажнение и питание ' 1000мл",995.0,995
"Тинт для губ Luxvisage Lip Tint Aqua Gel 04 , Rosewood , 3,4мл",230.0,355
"Палетка теней для век Catrice The Dark Cocoa 8 оттенков 9г",689.0,689
"Элементы питания Opticell CR 2032 2шт",429.0,429
"Резиновые перчатки с хлопковым напылением Guten Tag особопрочные M",99.0,179
"Увлажняющий фиксатор - спрей для лица Influence Beauty Hydra 110мл",429.0,613
"Мешки для мусора Guten Tag Premium суперпрочные ПВД в рулоне 120л 10шт",149.0,199
"Тональный флюид для лица с эффектом мягкого свечения Catrice Soft Glam Filter 020 30мл",749.0,749
"Мочалка - варежка Aqua Joy для душа и ванны",299.0,299
"Стойкая крем-гель краска для волос Estel Color Signature 5/77 Горячий шоколад",489.0,489
"Восстанавливающий шампунь для волос KeraSys 180мл",299.0,399
"Шампунь для волос Ollin Professional Care ' Увлажняющий ' 1000мл",899.0,899
"Мочалка-лента для тела Мойдодыр",349.0,349
"Сменный картридж Барьер для фильтра-кувшина , жесткость 6",349.0,449
"Тушь для ресниц L'Oreal Paris Telescopic Черная 8мл",1190.0,1190
"Тональный крем для лица Luxvisage Skin Evolution ' Soft matte blur effect ' 10 Light 35г",259.0,399
"Блеск для губ Essence Extreme shine volume lipgloss 102 5мл",247.0,247
"Мужской станок для бритья TopTech Pro 3 + сменные кассеты 10шт",489.0,699
"Увлажняющий шампунь для волос KeraSys 180мл",299.0,399
"Палетка теней для век Vivienne Sabo Croissant 02 4г",513.0,513
"Влажные салфетки Aura Family с антибактериальным эффектом 200шт",249.0,249
"Стойкая крем-гель краска для волос Estel Color Signature 4/7 Мокко",489.0,489
"Стойкая крем-гель краска для волос Estel Color Signature 7/7 Тирамису",489.0,489
"Гель - фиксатор для бровей Luxvisage Brow fixing 5,5г",174.0,269
"Мужской дезодорант Old Spice Epic Legend 50мл",374.0,499
"Бальзам - ополаскиватель для волос с коллагеном и аминокислотами Mixit Hair Expert Collagen+amino acids 1000мл",479.0,639
"Успокаивающий крем для лица Aravia Laboratories Acne Balance SPF 20 с ниацинамидом 100мл",499.0,679
"Мочалка-лента для тела Spa 4 Men массажная рами",199.0,199
"Пакеты для бутербродов Market Fresh 50шт",39.0,49
"Стойкая крем - гель краска для волос Estel Color Signature 8/7 Ваниль",489.0,489
"Жидкий Бронзер для лица Essence Baby got bronze 10 10мл",409.0,409
"Кассеты для станка Venus сменные 4шт",1290.0,1650
"Укрепитель для ногтей Frenchi Умная эмаль с гексаналем 11мл",299.0,299
"Набор салфеток из микрофибры для мытья окон Guten Tag 30*30см , 2шт",79.0,139
"Универсальные салфетки из микрофибры Guten Tag 30*30см 4шт",159.0,199
"Консилер для лица Essence Skin Lovin' Sensitive 10 3,5мл",355.0,355
"Тональный крем для лица Catrice HD Liquid Coverage Foundation 010 30мл",749.0,749
"Укрепитель для ногтей Luxvisage Алмазное Ламинирование 10г",181.0,279
"Мыло - пятновыводитель Антипятин от всех видов пятен ' Лимон ' 90г",74.0,99
"Спрей для фиксации макияжа Luxvisage ' Prime & Fix ' 50мл",191.0,295
"Лак для тонких волос Тафт Объем для Сверхсильная фиксация (4) 225мл",319.0,449
"Мужские одноразовые станки для бритья Bic Metal 10шт",299.0,299
"Женский станок TopBeauty Paris + сменные кассеты 3 лезвия 10шт",699.0,699
"CC крем для лица Luxvisage Active Complex SPF10 , 20 , 35г",324.0,499
"Тинт для губ Luxvisage Lip Tint Aqua Gel 05 Wine Red 3,4мл",230.0,355
"Порошок Невская Косметика Ушастый нянь для стирки детского белья 400г",99.0,129
"Автоматический карандаш для бровей Vivienne Sabo Brow Arcade 04 Серо-коричневый",535.0,535
"Тушь для ресниц Luxvisage Perfect color ' Веер пышных ресниц ' Черная 9г",243.0,375
"Консилер для лица Catrice True Skin high over concealer 10 4,5мл",449.0,449
"Шампунь для тонких и склонных к жирности волос Aravia Professional Volume Pure бессульфатный 420мл",999.0,999
"Тампоны Kotex Active Normal , 16шт",299.0,399
"Тушь для ресниц Luxvisage Perfect color ' EXPRESS объем&длина ' 9г",243.0,375
"Тинт для губ Luxvisage Lip Tint Aqua Gel 02 , Sexy red , 3,4мл",230.0,355
