magnitName,magnitPrice,ulybkaName,ulybkaPrice,matchPercent
"Глянцевый бальзам для губ Holy Duck тон 05 Beauty Bomb",402.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 05 2г",403.0,90
"Помада-бальзам Beauty Bomb для губ тон 05",321.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 05 4г",323.0,87
"Глянцевый бальзам для губ Holy Duck тон 01 Beauty Bomb",402.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 01 2г",403.0,90
"Увлажняющий тональный крем для лица тон 01 Waterbomb Beauty Bomb",627.0,"Увлажняющий тональный крем для лица Beauty Bomb Waterbomb 01 25мл",699.0,90
"Тушь для ресниц Volume Star Beauty Bomb",450.0,"Тушь для ресниц Beauty Bomb Volume Star 01 9мл",449.0,100
"Тушь для ресниц Volume Star Beauty Bomb",450.0,"Объёмная тушь для ресниц Beauty Bomb Piercy Drama Volume Mascara 01 9мл",451.0,85
"Карандаш для губ Beauty Bomb Alt Lolita тон 10",278.0,"Карандаш для губ Beauty Bomb Alt Lolita 10 3,5г",277.0,88
"Бальзам для губ Beauty Bomb тон 02",353.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 02 4г",323.0,85
"Бальзам для губ Beauty Bomb тон 02",353.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 02 3,5г",249.0,85
"Влагостойкая тушь для ресниц Watertastic Beauty Bomb",450.0,"Влагостойкая тушь для ресниц Beauty Bomb Waterlastic 01 9мл",449.0,85
"Глянцевый бальзам для губ Holy Duck тон 03 Beauty Bomb",402.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 03 2г",403.0,90
"Глянцевый бальзам для губ Holy Duck тон 03 Beauty Bomb",402.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 03 2г",403.0,90
"Палетка теней для век двойная тон 02 Beauty Bomb",499.0,"Палетка теней для век двойная Beauty Bomb Double Eyeshadow 02 3,4г",499.0,88
"Бальзам для губ Beauty Bomb тон 01",368.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 01 4г",323.0,85
"Бальзам для губ Beauty Bomb тон 01",368.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 01 3,5г",249.0,85
"Бальзам для губ Beauty Bomb тон 01",368.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 01 2г",403.0,85
"Матовая помада для губ жидкая тон 04 Beauty Bomb",565.0,"Жидкая матовая помада для губ Beauty Bomb Only Matte 04 3,3мл",565.0,88
"Глянцевый бальзам для губ Holy Duck тон 04 Beauty Bomb",402.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 04 2г",403.0,90
"Бальзам для губ Beauty Bomb тон 04",353.0,"Бальзам для губ Beauty Bomb Tinted Lip Balm 04 3г",459.0,85
"Бальзам для губ Beauty Bomb тон 04",353.0,"Глянцевый бальзам для губ Beauty Bomb Holy Duck 04 2г",403.0,85
"Карандаш для губ Beauty Bomb Alt Lolita тон 02",268.0,"Карандаш для губ Beauty Bomb Alt Lolita 02 3,5г",277.0,88
"Помада-бальзам Beauty Bomb для губ тон 01",321.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 01 4г",323.0,87
"Помада-бальзам Beauty Bomb для губ тон 02",321.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 02 4г",323.0,87
"Помада-бальзам Beauty Bomb для губ тон 03",321.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 03 4г",323.0,87
"Бальзам для губ Beauty Bomb тон 02",206.0,"Помада - бальзам для губ Beauty Bomb Color lip balm 02 4г",323.0,85
"Бальзам для губ Beauty Bomb тон 02",206.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 02 3,5г",249.0,85
"Тональный крем Beauty Bomb Acne Fighter тон 03",339.0,"Тональный крем для лица Beauty Bomb Matte & cover foundation ACNE Fighter 03 25мл",649.0,87
"Мыло для бровей Beauty Bomb Beach Brows 10г",414.0,"Мыло для бровей Beauty Bomb Beach Brows 10г",415.0,100
"Бальзам для губ Beauty Bomb Bla-bla-balm тон 01",173.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 01 3,5г",249.0,88
"Бальзам для губ Beauty Bomb Bla-bla-balm тон 02",173.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 02 3,5г",249.0,88
"Бальзам для губ Beauty Bomb Bla-bla-balm тон 03",173.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 03 3,5г",249.0,88
"Бальзам для губ Beauty Bomb Bla-bla-balm тон 03",173.0,"Бальзам для губ Beauty Bomb Bla-bla-balm 03 3,5г",249.0,88
"Карандаш для губ Beauty Bomb Alt Lolita тон 01",278.0,"Карандаш для губ Beauty Bomb Alt Lolita 01 3,5г",277.0,88
"Карандаш для губ Beauty Bomb Alt Lolita тон 06",278.0,"Карандаш для губ Beauty Bomb Alt Lolita 06 3,5г",277.0,88
"Карандаш для губ Beauty Bomb Alt Lolita тон 08",278.0,"Карандаш для губ Beauty Bomb Alt Lolita 08 3,5г",277.0,88
"Тинт для губ Blood Shot тон 01 Beauty Bomb",307.0,"Тинт для губ Beauty Bomb Blood Shot 01 4мл",307.0,88
"Тинт для губ Blood Shot тон 02 Beauty Bomb",307.0,"Тинт для губ Beauty Bomb Blood Shot 02 4мл",307.0,88
"Матовая помада для губ жидкая тон 02 Beauty Bomb",565.0,"Жидкая матовая помада для губ Beauty Bomb Only Matte 02 3,3мл",565.0,88
"Матовая помада для губ жидкая тон 03 Beauty Bomb",565.0,"Жидкая матовая помада для губ Beauty Bomb Only Matte 03 3,3мл",565.0,88
"Матовая помада для губ жидкая тон 06 Beauty Bomb",565.0,"Жидкая матовая помада для губ Beauty Bomb Only Matte 06 3,3мл",565.0,88
"Гелевый карандаш для глаз Laser Blade тон 02 Beauty Bomb",428.0,"Гелевый карандаш для век Beauty Bomb Laser Blade 02 1,1г",429.0,80
"Гелевый карандаш для глаз Laser Blade тон 05 Beauty Bomb",428.0,"Гелевый карандаш для век Beauty Bomb Laser Blade 05 1,1г",429.0,80
"Блеск для губ Lip Gloss Juicy тон 01 Beauty Bomb",456.0,"Блеск для губ Beauty Bomb Juicy gloss 01 3,4мл",459.0,80
"Блеск для губ Lip Gloss Juicy тон 02 Beauty Bomb",456.0,"Блеск для губ Beauty Bomb Juicy gloss 02 3,4мл",459.0,80
"Блеск для губ Lip Gloss Juicy тон 03 Beauty Bomb",456.0,"Блеск для губ Beauty Bomb Juicy gloss 03 3,4мл",459.0,80
"Масло для губ Glossy Oops тон 05 Beauty Bomb",327.0,"Масло для губ Beauty Bomb Glossy oops 05 4мл",329.0,88
"Дуохромный карандаш для глаз Conspiracy тон 03 Beauty Bomb Ufo",483.0,"Дуохромный карандаш для век Beauty Bomb UFO Conspiracy 03 0,25г",483.0,80
"Масло для губ Glossy Oops тон 02 Beauty Bomb",327.0,"Масло для губ Beauty Bomb Glossy oops 02 4мл",329.0,88
"Масло для губ Glossy Oops тон 01 Beauty Bomb",327.0,"Масло для губ Beauty Bomb Glossy oops 01 4мл",329.0,88
"Дуохромный карандаш для глаз Conspiracy тон 02 Beauty Bomb Ufo",483.0,"Дуохромный карандаш для век Beauty Bomb UFO Conspiracy 02 0,25г",483.0,80
"Гель для бровей Fix Bro Beauty Bomb",183.0,"Гель для бровей Beauty Bomb Fix, Bro 01 6мл",185.0,100
"Масло для губ Glossy Oops тон 03 Beauty Bomb",327.0,"Масло для губ Beauty Bomb Glossy oops 03 4мл",329.0,88
"Дуохромный карандаш для глаз Conspiracy тон 01 Beauty Bomb Ufo",483.0,"Дуохромный карандаш для век Beauty Bomb UFO Conspiracy 01 0,25г",483.0,80
"Масло для губ Glossy Oops тон 04 Beauty Bomb",327.0,"Масло для губ Beauty Bomb Glossy oops 04 4мл",329.0,88
