storeId,sku,retailerSku,name,price,oldPrice,discount
76098,11824,1000096767,Огурцы Дядя Ваня Корнишоны по-французски маринованные 460 г,219.99,269.99,50
76098,127797,1000130503,Сырок творожный Первый вкус со вкусом клубники глазированный 18% 40 г,36.99,36.99,0
76098,52417,1499900452,Овощная смесь Vитамин мексиканская замороженная 400 г,164.0,219.99,55
76098,15309391,1000422581,Сладкосливочное масло Белебеевский Традиционное 82 5% БЗМЖ 170 г,179.0,259.99,80
76098,1514526,1626800024,Шоколадные конфеты Рот Фронт Батончики,138.6,138.6,0
76098,28251516,1000530494,Салат Морковь по-корейски 200 г,69.99,69.99,0
76098,26346296,3132360213,Сода пищевая 500 г в ассортименте (бренд по наличию),39.0,39.0,0
76098,15050195,1000293552,Кукуруза Моя цена сахарная 340 г,64.99,64.99,0
76098,141099,1000199983,Батон Восход Бутербродный пшеничный целый 250 г,69.99,69.99,0
76098,15177297,1000167072,Макаронные изделия Моя цена Рожки 400 г,18.0,18.0,0
76098,15060646,1000289065,Фарш домашний Магнит Свежесть охлажденный 400 г,164.0,164.0,0
76098,20569118,1000453886,Влажный корм Felix Аппетитные Кусочки для взрослых кошек с говядиной в желе 75 г,31.99,31.99,0
76098,15188854,1000233912,Бальзам для мытья посуды Sorti Алоэ Вера 450 мл,84.0,109.99,25
76098,53002,1000048701,Мороженое Коровка из Кореновки пломбир стаканчик БЗМЖ 100 г,85.0,85.0,0
76098,216214,1000248669,Яйцо куриное Чебарульская птица Домашнее С1 10 шт,119.99,119.99,0
76098,11749,3060830107,Кукуруза Бондюэль 340 г,139.99,169.99,30
76098,19173894,1000422635,Чипсы картофельные Lay's лобстер рифленые 140 г,179.0,179.0,0
76098,44762,1000175642,Рис Увелка круглозерный в варочных пакетиках 80 г х 5 шт,83.0,119.99,36
76098,15068306,1000245988,Рулет Моя цена Клубничный 200 г,44.99,44.99,0
76098,15573354,1000166121,Салат Рукола-Радичио 75 г,139.0,139.0,0
76098,15064220,9072651505,Грейпфрут,149.99,149.99,0
76098,253703,1444282069,Голубика 125 г,259.99,259.99,0
76098,18326411,1000383360,Сыр полутвердый Варвара Краса Сметанковый 50% 160 г,137.0,137.0,0
76098,1617221,1000137750,Биолакт детский «Тема» без сахара 3 4% охлажденный 206 г,44.0,44.0,0
76098,15190040,3139480006,Крупа манная 800 г,37.0,37.0,0
76098,17780926,1000082691,Вафли Яшкино глазированные с орешками 200 г,119.99,119.99,0
76098,15011256,1000044580,Туалетная бумага Магнит без запаха 4 шт,74.0,74.0,0
76098,15176497,3412060011,Чеснок,39.99,39.99,0
76098,15050409,1000300844,Арахис Моя цена жареный соленый 80 г,35.0,35.0,0
76098,1107124,1000348865,Кукурузные палочки ФрутоНяня яблоко-клубника с 12 месяцев 20 г,52.0,79.49,27
76098,26347289,1000370700,Хлеб Дружба пшеничный 500 г,49.99,49.99,0
76098,15190042,3139480010,Горох 800 г,29.0,29.0,0
76098,15011121,1000014812,Ананасы Моя цена кольца консервированные 565 г,149.99,149.99,0
76098,1146043,1000367086,Сыр полутвердый Белебеевский 45% БЗМЖ 190 г,
